#This file was generated on Wed Jun 28 15:31:24 2023
#Using the somd command, of the molecular library Sire version <2023.3.0> 
#For more information visit: https://github.com/openbiosim/sire
#
#General information on simulation parameters:
#Simulation used 250 moves, 12 cycles and 6 ps of simulation time
#Generating lambda is		 0.33333
#Alchemical array is		 (0.0, 0.33333, 0.66667, 1.0)
#Generating temperature is 	300 K
#Energy was saved every 250 steps 
#
#
#   [step]               [potential]                [gradient]      [forward Metropolis]     [backward Metropolis]                   [u_kl]
     250            6.65648574e+00            4.77535617e+00            9.95229487e-01            1.00478017e+00     1.056744789535295e+01     1.116557953132171e+01     1.347520109283096e+01     1.727179770911508e+01
     500            6.32212802e+00            5.73807268e+00            9.94271414e-01            1.00574754e+00     1.015205211293517e+01     1.060472837611704e+01     1.325885357528983e+01     1.743501572529892e+01
     750            1.01451516e+01            6.33957996e+00            9.93673268e-01            1.00635242e+00     1.633965055339309e+01     1.701746266060356e+01     1.988229588739527e+01     2.426077700966533e+01
    1000            6.87515790e+00            5.45135605e+00            9.94556833e-01            1.00545953e+00     1.083112607584999e+01     1.153237988787662e+01     1.407907281002273e+01     1.814159785969251e+01
    1250            4.79669457e+00            1.62179901e+00            9.98373119e-01            1.00161670e+00     8.498916746188380e+00     8.045968518738567e+00     9.285085542601601e+00     1.197298119674567e+01
    1500            5.98223520e+00            8.76929494e+00            9.91262297e-01            1.00880099e+00     8.304026156745961e+00     1.003459264243063e+01     1.369696950340471e+01     1.889340373178766e+01
    1750            3.42724569e+00            8.52059772e+00            9.91508650e-01            1.00854993e+00     4.048894451667030e+00     5.748856954972411e+00     9.340288884551079e+00     1.446923014816571e+01
    2000            4.67140657e+00            6.77660272e+00            9.93239592e-01            1.00679281e+00     6.681753818296690e+00     7.835810597472824e+00     1.082636749139405e+01     1.532724171738594e+01
    2250            6.75606789e+00            1.54878834e+00            9.98445931e-01            1.00154349e+00     1.188753186475168e+01     1.133261847826464e+01     1.255171284843850e+01     1.522416554025539e+01
    2500            6.26796073e+00            1.42332693e+00            9.98570826e-01            1.00141746e+00     1.132868348020585e+01     1.051386823845509e+01     1.170540377170099e+01     1.434724189518844e+01
    2750            7.44582946e+00           -1.90853993e+00            1.00190370e+00            9.98086647e-01     1.428929657477982e+01     1.248962354266110e+01     1.255114904871719e+01     1.402718139805218e+01
    3000            5.45789116e+00            3.28940560e+00            9.96708790e-01            1.00328757e+00     9.594367109788369e+00     9.155058723413141e+00     1.099137206604459e+01     1.430937951245884e+01
